s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"First_Ceiling_Gas_Temperature","Fourth_Ceiling_Gas_Temperature","Second_Ceiling_Gas_Temperature","Third_Ceiling_Gas_Temperature","First_Ceiling_Gas_Temperature1","Fourth_Ceiling_Gas_Temperature1","Second_Ceiling_Gas_Temperature1","Third_Ceiling_Gas_Temperature1","0.5_TREE1_TEMPERATURE_THERMOCOUPLE","0.5_TREE1_THERMOCOUPLE","0.7_TREE1_TEMPERATURE_THERMOCOUPLE","0.7_TREE1_THERMOCOUPLE","0.9_TREE1_TEMPERATURE_THERMOCOUPLE","0.9_TREE1_THERMOCOUPLE","1.2_TREE1_TEMPERATURE_THERMOCOUPLE","1.2_TREE1_THERMOCOUPLE","1.5_TREE1_TEMPERATURE_THERMOCOUPLE","1.5_TREE1_THERMOCOUPLE","0.5_TREE2_TEMPERATURE_THERMOCOUPLE","0.5_TREE2_THERMOCOUPLE","0.7_TREE2_TEMPERATURE_THERMOCOUPLE","0.7_TREE2_THERMOCOUPLE","0.9_TREE2_TEMPERATURE_THERMOCOUPLE","0.9_TREE2_THERMOCOUPLE","1.2_TREE2_TEMPERATURE_THERMOCOUPLE","1.2_TREE2_THERMOCOUPLE","1.5_TREE2_TEMPERATURE_THERMOCOUPLE","1.5_TREE2_THERMOCOUPLE"
 0.0000000E+000, 2.6999710E+001, 2.6999830E+001, 2.6999759E+001, 2.6999797E+001, 2.6999855E+001, 2.6999915E+001, 2.6999879E+001, 2.6999899E+001, 2.7000000E+001, 2.6999690E+001, 2.7000000E+001, 2.6999651E+001, 2.7000000E+001, 2.6999601E+001, 2.7000000E+001, 2.6999645E+001, 2.7000000E+001, 2.6999709E+001, 2.7000000E+001, 2.6999776E+001, 2.7000000E+001, 2.6999738E+001, 2.7000000E+001, 2.6999684E+001, 2.7000000E+001, 2.6999715E+001, 2.7000000E+001, 2.6999780E+001
 4.1702883E-001, 2.6999509E+001, 2.6999666E+001, 2.6999576E+001, 2.6999625E+001, 2.6999751E+001, 2.6999831E+001, 2.6999785E+001, 2.6999810E+001, 2.6999923E+001, 2.6999480E+001, 2.6999905E+001, 2.6999324E+001, 2.6999898E+001, 2.6999252E+001, 2.6999923E+001, 2.6999399E+001, 2.6999928E+001, 2.6999475E+001, 2.6999929E+001, 2.6999571E+001, 2.6999933E+001, 2.6999516E+001, 2.6999933E+001, 2.6999461E+001, 2.6999947E+001, 2.6999531E+001, 2.6999943E+001, 2.6999592E+001
 8.2498532E-001, 2.6999280E+001, 2.6999475E+001, 2.6999360E+001, 2.6999425E+001, 2.6999629E+001, 2.6999730E+001, 2.6999671E+001, 2.6999704E+001, 2.7000359E+001, 2.7001048E+001, 2.7000474E+001, 2.7001476E+001, 2.7000431E+001, 2.7001317E+001, 2.6999794E+001, 2.6999127E+001, 2.6999807E+001, 2.6999215E+001, 2.6999917E+001, 2.6999648E+001, 2.6999896E+001, 2.6999483E+001, 2.6999879E+001, 2.6999403E+001, 2.6999855E+001, 2.6999311E+001, 2.6999844E+001, 2.6999374E+001
 1.2024719E+000, 2.6999374E+001, 2.6999450E+001, 2.6999401E+001, 2.6999403E+001, 2.6999667E+001, 2.6999711E+001, 2.6999684E+001, 2.6999686E+001, 2.7003117E+001, 2.7009296E+001, 2.7002633E+001, 2.7007590E+001, 2.7002588E+001, 2.7007449E+001, 2.6999850E+001, 2.6999403E+001, 2.6999813E+001, 2.6999326E+001, 2.7000384E+001, 2.7001105E+001, 2.7000282E+001, 2.7000680E+001, 2.7000046E+001, 2.6999925E+001, 2.6999860E+001, 2.6999358E+001, 2.6999836E+001, 2.6999398E+001
 1.6068385E+000, 2.7002218E+001, 2.7000207E+001, 2.7003044E+001, 2.7000573E+001, 2.7001092E+001, 2.7000087E+001, 2.7001512E+001, 2.7000269E+001, 2.7015327E+001, 2.7042842E+001, 2.7010201E+001, 2.7028230E+001, 2.7009056E+001, 2.7024913E+001, 2.7002346E+001, 2.7006505E+001, 2.7001588E+001, 2.7004393E+001, 2.7002486E+001, 2.7006786E+001, 2.7002635E+001, 2.7007148E+001, 2.7001130E+001, 2.7002929E+001, 2.7000404E+001, 2.7000885E+001, 2.7000333E+001, 2.7000821E+001
 2.0049463E+000, 2.7009283E+001, 2.7002363E+001, 2.7010791E+001, 2.7003493E+001, 2.7004693E+001, 2.7001178E+001, 2.7005467E+001, 2.7001752E+001, 2.7031146E+001, 2.7085355E+001, 2.7020980E+001, 2.7056701E+001, 2.7017712E+001, 2.7047101E+001, 2.7008098E+001, 2.7021633E+001, 2.7005458E+001, 2.7014504E+001, 2.7004996E+001, 2.7013171E+001, 2.7005603E+001, 2.7014846E+001, 2.7002905E+001, 2.7007574E+001, 2.7001632E+001, 2.7004087E+001, 2.7001554E+001, 2.7004052E+001
 2.4060013E+000, 2.7017190E+001, 2.7004608E+001, 2.7018003E+001, 2.7006546E+001, 2.7008835E+001, 2.7002336E+001, 2.7009259E+001, 2.7003338E+001, 2.7046248E+001, 2.7126797E+001, 2.7031104E+001, 2.7084517E+001, 2.7026301E+001, 2.7069584E+001, 2.7013924E+001, 2.7036443E+001, 2.7009518E+001, 2.7024269E+001, 2.7007668E+001, 2.7019605E+001, 2.7008301E+001, 2.7021681E+001, 2.7004539E+001, 2.7011727E+001, 2.7003060E+001, 2.7007617E+001, 2.7002809E+001, 2.7007199E+001
 2.8007640E+000, 2.7027368E+001, 2.7006958E+001, 2.7025630E+001, 2.7009767E+001, 2.7014275E+001, 2.7003573E+001, 2.7013372E+001, 2.7005048E+001, 2.7061065E+001, 2.7167174E+001, 2.7040983E+001, 2.7112295E+001, 2.7034632E+001, 2.7092523E+001, 2.7019857E+001, 2.7051748E+001, 2.7014022E+001, 2.7034569E+001, 2.7010363E+001, 2.7025761E+001, 2.7010970E+001, 2.7028308E+001, 2.7006261E+001, 2.7016053E+001, 2.7004561E+001, 2.7011168E+001, 2.7004153E+001, 2.7010452E+001
 3.2043580E+000, 2.7269488E+001, 2.7009489E+001, 2.7033668E+001, 2.7013232E+001, 2.7093976E+001, 2.7004927E+001, 2.7017822E+001, 2.7006924E+001, 2.7075460E+001, 2.7205472E+001, 2.7050930E+001, 2.7139938E+001, 2.7042820E+001, 2.7115412E+001, 2.7025772E+001, 2.7067462E+001, 2.7018766E+001, 2.7045312E+001, 2.7013097E+001, 2.7031684E+001, 2.7013583E+001, 2.7034628E+001, 2.7008019E+001, 2.7020385E+001, 2.7006148E+001, 2.7014804E+001, 2.7005529E+001, 2.7013677E+001
